id,class,tree,tier,type,steps,effect,visual,state
"pri_solace","priest","priest_reckoning","4","active","heal","buff (heal)","damage number only","numbers-only"
"pri_matins","priest","priest_reckoning","6","passive","(none)","passive","nothing","passive"
"pri_compline","priest","priest_reckoning","8","active","shield","buff (absorb)","nothing","invisible"
"pri_vespers","priest","priest_reckoning","10","active","ward","buff (absorb)","nothing","invisible"
"pri_tally","priest","priest_reckoning","4","active","strike","melee arc","shape: melee arc","visual"
"pri_arrears","priest","priest_reckoning","6","passive","(none)","passive","nothing","passive"
"pri_distraint","priest","priest_reckoning","8","active","cone","melee arc","shape: melee arc","visual"
"pri_foreclose","priest","priest_reckoning","10","active","strike","melee arc","shape: melee arc","visual"
"bard_opening_note","bard","bard_cadence","1","active","bolt","projectile","entity: projectile","visual"
"bard_quickstep","bard","bard_cadence","2","active","strike","melee arc","shape: melee arc","visual"
"bard_counterpoint","bard","bard_cadence","3","active","bolt","projectile","entity: projectile","visual"
"bard_syncopation","bard","bard_cadence","4","active","cone","melee arc","shape: melee arc","visual"
"bard_perfect_time","bard","bard_cadence","5","passive","(none)","passive","nothing","passive"
"bard_drum_line","bard","bard_cadence","6","active","strike","melee arc","shape: melee arc","visual"
"bard_running_sixteenths","bard","bard_cadence","7","active","bolt","projectile","entity: projectile","visual"
"bard_hemiola","bard","bard_cadence","8","active","line","beam","shape: beam flash","visual"
"bard_stretto","bard","bard_cadence","9","active","cone","melee arc","shape: melee arc","visual"
"bard_last_bar","bard","bard_cadence","10","active","cone","melee arc","shape: melee arc","visual"
"bard_sting","bard","bard_ensemble","1","active","strike","melee arc","shape: melee arc","visual"
"bard_refrain","bard","bard_ensemble","2","active","heal","buff (heal)","damage number only","numbers-only"
"bard_traveling_song","bard","bard_ensemble","4","active","shield","buff (absorb)","nothing","invisible"
"bard_cutting_remark","bard","bard_ensemble","4","active","bolt","projectile","entity: projectile","visual"
"bard_answering_chorus","bard","bard_ensemble","6","active","drain","single-target damage","nothing","numbers-only"
"bard_dirge","bard","bard_ensemble","6","active","hazard","zone","entity: ground zone","visual"
"bard_rondo","bard","bard_ensemble","8","active","cone","melee arc","shape: melee arc","visual"
"bard_standing_ovation","bard","bard_ensemble","8","active","ward","buff (absorb)","nothing","invisible"
"bard_marching_order","bard","bard_ensemble","10","active","line","beam","shape: beam flash","visual"
"bard_finale","bard","bard_ensemble","10","active","cone","melee arc","shape: melee arc","visual"
"mage_shardcut","mage","mage_crystalblade","1","active","strike","melee arc","shape: melee arc","visual"
"mage_facet_strike","mage","mage_crystalblade","2","active","strike","melee arc","shape: melee arc","visual"
"mage_fracture_line","mage","mage_crystalblade","3","active","strike","melee arc","shape: melee arc","visual"
"mage_hardened_edge","mage","mage_crystalblade","4","active","shield","buff (absorb)","nothing","invisible"
"mage_lattice","mage","mage_crystalblade","5","passive","(none)","passive","nothing","passive"
"mage_refracted_guard","mage","mage_crystalblade","6","active","strike","melee arc","shape: melee arc","visual"
"mage_pressure_front","mage","mage_crystalblade","7","active","strike","melee arc","shape: melee arc","visual"
"mage_cleavage_plane","mage","mage_crystalblade","8","active","strike","melee arc","shape: melee arc","visual"
"mage_inclusion","mage","mage_crystalblade","9","active","strike","melee arc","shape: melee arc","visual"
"mage_whole_stone","mage","mage_crystalblade","10","active","strike","melee arc","shape: melee arc","visual"
"mage_coil_shot","mage","mage_collapse","1","active","bolt","projectile","entity: projectile","visual"
"mage_gravity_well","mage","mage_collapse","2","active","hazard","zone","entity: ground zone","visual"
"mage_event_horizon","mage","mage_collapse","4","active","shield","buff (absorb)","nothing","invisible"
"mage_redshift","mage","mage_collapse","4","active","bolt","projectile","entity: projectile","visual"
"mage_accretion","mage","mage_collapse","6","active","drain","single-target damage","nothing","numbers-only"
"mage_tidal_shear","mage","mage_collapse","6","active","cone","melee arc","shape: melee arc","visual"
"mage_frame_drag","mage","mage_collapse","8","active","line","beam","shape: beam flash","visual"
"mage_null_geodesic","mage","mage_collapse","8","active","ward","buff (absorb)","nothing","invisible"
"mage_spaghettification","mage","mage_collapse","10","active","bolt","projectile","entity: projectile","visual"
"mage_heat_death","mage","mage_collapse","10","active","cone","melee arc","shape: melee arc","visual"
"wd_bone_rattle","witch_doctor","wd_effigy","1","active","strike","melee arc","shape: melee arc","visual"
"wd_pin","witch_doctor","wd_effigy","2","active","bolt","projectile","entity: projectile","visual"
"wd_sympathetic_ache","witch_doctor","wd_effigy","3","active","bolt","projectile","entity: projectile","visual"
"wd_needlework","witch_doctor","wd_effigy","4","active","strike","melee arc","shape: melee arc","visual"
"wd_sympathetic_binding","witch_doctor","wd_effigy","5","passive","(none)","passive","nothing","passive"
"wd_hollow_man","witch_doctor","wd_effigy","6","active","shield","buff (absorb)","nothing","invisible"
"wd_second_skin","witch_doctor","wd_effigy","7","active","cone","melee arc","shape: melee arc","visual"
"wd_crooked_thread","witch_doctor","wd_effigy","8","active","line","beam","shape: beam flash","visual"
"wd_what_the_doll_knows","witch_doctor","wd_effigy","9","active","bolt","projectile","entity: projectile","visual"
"wd_everything_it_held","witch_doctor","wd_effigy","10","active","cone","melee arc","shape: melee arc","visual"
"wd_bogspit","witch_doctor","wd_blight","1","active","bolt","projectile","entity: projectile","visual"
"wd_rot","witch_doctor","wd_blight","2","active","plague","damage-over-time","nothing","numbers-only"
"wd_fen_shroud","witch_doctor","wd_blight","4","active","shield","buff (absorb)","nothing","invisible"
"wd_marsh_gas","witch_doctor","wd_blight","6","active","hazard","zone","entity: ground zone","visual"
"wd_leech_the_link","witch_doctor","wd_blight","4","active","drain","single-target damage","nothing","numbers-only"
"wd_grave_wax","witch_doctor","wd_blight","6","active","bolt","projectile","entity: projectile","visual"
"wd_carrion_choir","witch_doctor","wd_blight","10","active","cone","melee arc","shape: melee arc","visual"
"wd_drowned_ward","witch_doctor","wd_blight","8","active","ward","buff (absorb)","nothing","invisible"
"wd_spoil","witch_doctor","wd_blight","8","active","plague","damage-over-time","nothing","numbers-only"
"wd_the_long_rot","witch_doctor","wd_blight","10","active","cone","melee arc","shape: melee arc","visual"
"sun_spindrift","sundian","sun_tidewrack","1","active","bolt","projectile","entity: projectile","visual"
"sun_souse","sundian","sun_tidewrack","2","active","cone","melee arc","shape: melee arc","visual"
"sun_rip_current","sundian","sun_tidewrack","3","active","line","beam","shape: beam flash","visual"
"sun_sluicegate","sundian","sun_tidewrack","4","active","bolt","projectile","entity: projectile","visual"
"sun_tidemark","sundian","sun_tidewrack","5","passive","(none)","passive","nothing","passive"
"sun_undertow","sundian","sun_tidewrack","6","active","strike","melee arc","shape: melee arc","visual"
"sun_millrace","sundian","sun_tidewrack","7","active","cone","melee arc","shape: melee arc","visual"
"sun_breakwater","sundian","sun_tidewrack","8","active","shield","buff (absorb)","nothing","invisible"
"sun_flood_tide","sundian","sun_tidewrack","9","active","cone","melee arc","shape: melee arc","visual"
"sun_the_whole_sea","sundian","sun_tidewrack","10","active","cone","melee arc","shape: melee arc","visual"
"sun_reefcut","sundian","sun_reef","1","active","strike","melee arc","shape: melee arc","visual"
"sun_shoal","sundian","sun_reef","2","active","hazard","zone","entity: ground zone","visual"
"sun_brine_draught","sundian","sun_reef","4","active","heal","buff (heal)","damage number only","numbers-only"
"sun_barnacle","sundian","sun_reef","4","active","bolt","projectile","entity: projectile","visual"
"sun_kelp_snare","sundian","sun_reef","6","active","line","beam","shape: beam flash","visual"
"sun_salt_rime","sundian","sun_reef","6","active","plague","damage-over-time","nothing","numbers-only"
"sun_sea_wall","sundian","sun_reef","8","active","shield","buff (absorb)","nothing","invisible"
"sun_riptooth","sundian","sun_reef","8","active","strike","melee arc","shape: melee arc","visual"
"sun_sump","sundian","sun_reef","10","active","drain","single-target damage","nothing","numbers-only"
"sun_longshore","sundian","sun_reef","10","active","cone","melee arc","shape: melee arc","visual"
"sun_scud","sundian","sun_undertow","1","active","bolt","projectile","entity: projectile","visual"
"sun_shallows","sundian","sun_undertow","2","passive","(none)","passive","nothing","passive"
"sun_drag","sundian","sun_undertow","4","active","strike","melee arc","shape: melee arc","visual"
"sun_sluiceway","sundian","sun_undertow","6","passive","(none)","passive","nothing","passive"
"sun_sweep","sundian","sun_undertow","8","active","cone","melee arc","shape: melee arc","visual"
"sun_seawall","sundian","sun_undertow","10","active","cone","melee arc","shape: melee arc","visual"
"sun_undertow_cut","sundian","sun_undertow","4","active","strike","melee arc","shape: melee arc","visual"
"sun_ebb","sundian","sun_undertow","6","passive","(none)","passive","nothing","passive"
"sun_race","sundian","sun_undertow","8","active","bolt","projectile","entity: projectile","visual"
"sun_maelstrom","sundian","sun_undertow","10","active","strike","melee arc","shape: melee arc","visual"
"asn_shiv","assassin","asn_killbox","1","active","strike","melee arc","shape: melee arc","visual"
"asn_caltrops","assassin","asn_killbox","2","active","trap","trap","NOTHING — traps are not in any view","written-never-drawn"
"asn_cold_read","assassin","asn_killbox","3","active","bolt","projectile","entity: projectile","visual"
"asn_tripwire","assassin","asn_killbox","4","active","trap","trap","NOTHING — traps are not in any view","written-never-drawn"
"asn_dead_ground","assassin","asn_killbox","5","passive","(none)","passive","nothing","passive"
"asn_garrote","assassin","asn_killbox","6","active","strike","melee arc","shape: melee arc","visual"
"asn_pressure_plate","assassin","asn_killbox","7","active","trap","trap","NOTHING — traps are not in any view","written-never-drawn"
"asn_blind_angle","assassin","asn_killbox","8","active","line","beam","shape: beam flash","visual"
"asn_quiet_exit","assassin","asn_killbox","9","active","shield","buff (absorb)","nothing","invisible"
"asn_the_room_you_chose","assassin","asn_killbox","10","active","cone","melee arc","shape: melee arc","visual"
"asn_backstep","assassin","asn_shadow","1","active","bolt","projectile","entity: projectile","visual"
"asn_hamstring","assassin","asn_shadow","2","active","strike","melee arc","shape: melee arc","visual"
"asn_vanish","assassin","asn_shadow","4","active","shield","buff (absorb)","nothing","invisible"
"asn_open_vein","assassin","asn_shadow","6","active","bolt","projectile","entity: projectile","visual"
"asn_last_word","assassin","asn_shadow","8","active","bolt","projectile","entity: projectile","visual"
"asn_mark_of_debt","assassin","asn_shadow","4","active","bolt","projectile","entity: projectile","visual"
"asn_cutpurse","assassin","asn_shadow","6","active","drain","single-target damage","nothing","numbers-only"
"asn_two_blades","assassin","asn_shadow","8","active","strike","melee arc","shape: melee arc","visual"
"asn_nightwork","assassin","asn_shadow","10","active","hazard","zone","entity: ground zone","visual"
"asn_the_contract","assassin","asn_shadow","10","active","bolt","projectile","entity: projectile","visual"
"hun_sighting_shot","hunter","hun_longshot","1","active","bolt","projectile","entity: projectile","visual"
"hun_falconer","hunter","hun_longshot","2","active","summon","summon","entity: minion body","visual"
"hun_spotters_call","hunter","hun_longshot","3","active","bolt","projectile","entity: projectile","visual"
"hun_enfilade","hunter","hun_longshot","4","active","line","beam","shape: beam flash","visual"
"hun_long_leash","hunter","hun_longshot","5","passive","(none)","passive","nothing","passive"
"hun_crossfire","hunter","hun_longshot","6","active","bolt","projectile","entity: projectile","visual"
"hun_driven_game","hunter","hun_longshot","7","active","cone","melee arc","shape: melee arc","visual"
"hun_set_and_hold","hunter","hun_longshot","8","active","shield","buff (absorb)","nothing","invisible"
"hun_culling_shot","hunter","hun_longshot","9","active","bolt","projectile","entity: projectile","visual"
"hun_both_barrels","hunter","hun_longshot","10","active","bolt","projectile","entity: projectile","visual"
"hun_whistle_up","hunter","hun_houndmaster","1","active","strike","melee arc","shape: melee arc","visual"
"hun_hound","hunter","hun_houndmaster","2","active","summon","summon","entity: minion body","visual"
"hun_bay","hunter","hun_houndmaster","4","active","cone","melee arc","shape: melee arc","visual"
"hun_second_hound","hunter","hun_houndmaster","4","active","summon","summon","entity: minion body","visual"
"hun_feed_the_pack","hunter","hun_houndmaster","6","active","heal","buff (heal)","damage number only","numbers-only"
"hun_boarspear","hunter","hun_houndmaster","8","active","strike","melee arc","shape: melee arc","visual"
"hun_snare_net","hunter","hun_houndmaster","6","active","line","beam","shape: beam flash","visual"
"hun_kennel_guard","hunter","hun_houndmaster","10","active","ward","buff (absorb)","nothing","invisible"
"hun_blood_trail","hunter","hun_houndmaster","8","active","drain","single-target damage","nothing","numbers-only"
"hun_loose_the_pack","hunter","hun_houndmaster","10","active","cone","melee arc","shape: melee arc","visual"
"hun_loosed","hunter","hun_pincer","1","active","bolt+summon","projectile+summon","entity: projectile + entity: minion body","visual"
"hun_jaws","hunter","hun_pincer","2","passive","(none)","passive","nothing","passive"
"hun_interlock","hunter","hun_pincer","4","active","cone","melee arc","shape: melee arc","visual"
"hun_bracket","hunter","hun_pincer","6","passive","(none)","passive","nothing","passive"
"hun_raking_shot","hunter","hun_pincer","8","active","line","beam","shape: beam flash","visual"
"hun_closing","hunter","hun_pincer","10","active","cone","melee arc","shape: melee arc","visual"
"hun_whistle","hunter","hun_pincer","4","active","strike","melee arc","shape: melee arc","visual"
"hun_kennel","hunter","hun_pincer","6","passive","(none)","passive","nothing","passive"
"hun_bell","hunter","hun_pincer","8","active","bolt","projectile","entity: projectile","visual"
"hun_quarry","hunter","hun_pincer","10","active","strike","melee arc","shape: melee arc","visual"
"monk_open_palm","monk","monk_chi","1","active","strike","melee arc","shape: melee arc","visual"
"monk_gathering_breath","monk","monk_chi","2","active","heal","buff (heal)","damage number only","numbers-only"
"monk_rolling_fist","monk","monk_chi","4","active","strike","melee arc","shape: melee arc","visual"
"monk_mend","monk","monk_chi","4","active","heal","buff (heal)","damage number only","numbers-only"
"monk_still_water","monk","monk_chi","6","passive","(none)","passive","nothing","passive"
"monk_hammerfall","monk","monk_chi","6","active","strike","melee arc","shape: melee arc","visual"
"monk_breathe_out","monk","monk_chi","8","active","ward","buff (absorb)","nothing","invisible"
"monk_crane_step","monk","monk_chi","8","active","cone","melee arc","shape: melee arc","visual"
"monk_quiet_the_body","monk","monk_chi","10","active","heal","buff (heal)","damage number only","numbers-only"
"monk_empty_hand","monk","monk_chi","10","active","strike","melee arc","shape: melee arc","visual"
"monk_low_sweep","monk","monk_stonegarden","1","active","strike","melee arc","shape: melee arc","visual"
"monk_set_stone","monk","monk_stonegarden","2","active","trap","trap","NOTHING — traps are not in any view","written-never-drawn"
"monk_turning_elbow","monk","monk_stonegarden","3","active","strike","melee arc","shape: melee arc","visual"
"monk_warded_ground","monk","monk_stonegarden","4","active","ward","buff (absorb)","nothing","invisible"
"monk_long_garden","monk","monk_stonegarden","5","passive","(none)","passive","nothing","passive"
"monk_iron_bell","monk","monk_stonegarden","6","active","cone","melee arc","shape: melee arc","visual"
"monk_second_stone","monk","monk_stonegarden","7","active","trap","trap","NOTHING — traps are not in any view","written-never-drawn"
"monk_snare_line","monk","monk_stonegarden","8","active","line","beam","shape: beam flash","visual"
"monk_give_ground","monk","monk_stonegarden","9","active","drain","single-target damage","nothing","numbers-only"
"monk_garden_closes","monk","monk_stonegarden","10","active","cone","melee arc","shape: melee arc","visual"
"sav_rip","savage","sav_primal_fury","1","active","strike","melee arc","shape: melee arc","visual"
"sav_run_down","savage","sav_primal_fury","2","active","drain","single-target damage","nothing","numbers-only"
"sav_wide_swing","savage","sav_primal_fury","4","active","cone","melee arc","shape: melee arc","visual"
"sav_gore","savage","sav_primal_fury","4","active","strike","melee arc","shape: melee arc","visual"
"sav_red_memory","savage","sav_primal_fury","8","passive","(none)","passive","nothing","passive"
"sav_break_line","savage","sav_primal_fury","6","active","line","beam","shape: beam flash","visual"
"sav_alone_with_it","savage","sav_primal_fury","6","active","strike","melee arc","shape: melee arc","visual"
"sav_second_wind","savage","sav_primal_fury","8","active","heal","buff (heal)","damage number only","numbers-only"
"sav_hooked","savage","sav_primal_fury","10","active","drain","single-target damage","nothing","numbers-only"
"sav_nothing_left","savage","sav_primal_fury","10","active","cone","melee arc","shape: melee arc","visual"
"sav_headbutt","savage","sav_bloodbound","1","active","strike","melee arc","shape: melee arc","visual"
"sav_bleed_them","savage","sav_bloodbound","2","active","plague","damage-over-time","nothing","numbers-only"
"sav_thick_hide","savage","sav_bloodbound","4","active","ward","buff (absorb)","nothing","invisible"
"sav_scent_of_it","savage","sav_bloodbound","4","active","bolt","projectile","entity: projectile","visual"
"sav_old_scars","savage","sav_bloodbound","6","passive","(none)","passive","nothing","passive"
"sav_drag_down","savage","sav_bloodbound","6","active","strike","melee arc","shape: melee arc","visual"
"sav_answer_it","savage","sav_bloodbound","8","active","cone","melee arc","shape: melee arc","visual"
"sav_blood_price","savage","sav_bloodbound","8","active","drain","single-target damage","nothing","numbers-only"
"sav_wont_go_down","savage","sav_bloodbound","10","active","ward","buff (absorb)","nothing","invisible"
"sav_everything_at_once","savage","sav_bloodbound","10","active","strike","melee arc","shape: melee arc","visual"
"sav_ember","savage","sav_aftermath","1","active","strike","melee arc","shape: melee arc","visual"
"sav_sawtooth","savage","sav_aftermath","2","passive","(none)","passive","nothing","passive"
"sav_backdraft","savage","sav_aftermath","4","active","cone","melee arc","shape: melee arc","visual"
"sav_emberfall","savage","sav_aftermath","6","passive","(none)","passive","nothing","passive"
"sav_detonate","savage","sav_aftermath","8","active","strike","melee arc","shape: melee arc","visual"
"sav_flashover","savage","sav_aftermath","10","active","strike","melee arc","shape: melee arc","visual"
"sav_bedrock","savage","sav_aftermath","4","active","shield","buff (absorb)","nothing","invisible"
"sav_granite","savage","sav_aftermath","6","passive","(none)","passive","nothing","passive"
"sav_scar","savage","sav_aftermath","8","active","hazard","zone","entity: ground zone","visual"
"sav_ashfield","savage","sav_aftermath","10","active","ward","buff (absorb)","nothing","invisible"
"smith_hammer_blow","blacksmith","smith_crystal","1","active","strike","melee arc","shape: melee arc","visual"
"smith_iron_pyrite","blacksmith","smith_crystal","2","active","form","stance","nothing","invisible"
"smith_anvil_strike","blacksmith","smith_crystal","3","active","strike","melee arc","shape: melee arc","visual"
"smith_slag","blacksmith","smith_crystal","4","active","cone","melee arc","shape: melee arc","visual"
"smith_prism_quartz","blacksmith","smith_crystal","5","active","form","stance","nothing","invisible"
"smith_refraction","blacksmith","smith_crystal","6","active","bolt","projectile","entity: projectile","visual"
"smith_facet","blacksmith","smith_crystal","7","passive","(none)","passive","nothing","passive"
"smith_celestial_calcite","blacksmith","smith_crystal","8","active","form","stance","nothing","invisible"
"smith_mend_the_seam","blacksmith","smith_crystal","9","active","heal","buff (heal)","damage number only","numbers-only"
"smith_whole_cloth","blacksmith","smith_crystal","10","active","strike","melee arc","shape: melee arc","visual"
"smith_tongs","blacksmith","smith_forge","1","active","strike","melee arc","shape: melee arc","visual"
"smith_bellows","blacksmith","smith_forge","2","active","ward","buff (absorb)","nothing","invisible"
"smith_quench","blacksmith","smith_forge","4","active","cone","melee arc","shape: melee arc","visual"
"smith_sparks","blacksmith","smith_forge","6","active","plague","damage-over-time","nothing","numbers-only"
"smith_deadweight","blacksmith","smith_forge","4","passive","(none)","passive","nothing","passive"
"smith_swage_block","blacksmith","smith_forge","6","active","strike","melee arc","shape: melee arc","visual"
"smith_draw_the_heat","blacksmith","smith_forge","8","active","drain","single-target damage","nothing","numbers-only"
"smith_standing_order","blacksmith","smith_forge","8","active","cone","melee arc","shape: melee arc","visual"
"smith_cold_shut","blacksmith","smith_forge","10","active","ward","buff (absorb)","nothing","invisible"
"smith_strike_while_hot","blacksmith","smith_forge","10","active","strike","melee arc","shape: melee arc","visual"
"sam_cross_guard","samurai","samurai_armor","1","active","strike","melee arc","shape: melee arc","visual"
"sam_set_stance","samurai","samurai_armor","2","passive","(none)","passive","nothing","passive"
"sam_iron_sleeve","samurai","samurai_armor","4","active","shield","buff (absorb)","nothing","invisible"
"sam_sweeping_guard","samurai","samurai_armor","4","active","strike","melee arc","shape: melee arc","visual"
"sam_immovable","samurai","samurai_armor","8","active","ward","buff (absorb)","nothing","invisible"
"sam_rebuke","samurai","samurai_armor","6","active","strike","melee arc","shape: melee arc","visual"
"sam_weight","samurai","samurai_armor","6","passive","(none)","passive","nothing","passive"
"sam_crushing","samurai","samurai_armor","8","active","strike","melee arc","shape: melee arc","visual"
"sam_bulwark","samurai","samurai_armor","10","active","shield+ward","buff (absorb)","nothing","invisible"
"sam_unbroken","samurai","samurai_armor","10","active","strike","melee arc","shape: melee arc","visual"
"necro_bone_dart","necromancer","necro_marrow","1","active","bolt","projectile","entity: projectile","visual"
"necro_spiked_punch","necromancer","necro_marrow","2","active","strike","melee arc","shape: melee arc","visual"
"necro_calcify","necromancer","necro_marrow","3","passive","(none)","passive","nothing","passive"
"necro_bone_nova","necromancer","necro_marrow","4","active","strike","melee arc","shape: melee arc","visual"
"necro_stake","necromancer","necro_marrow","5","active","strike","melee arc","shape: melee arc","visual"
"necro_quill","necromancer","necro_marrow","6","passive","(none)","passive","nothing","passive"
"necro_bone_spur","necromancer","necro_marrow","7","active","ward","buff (absorb)","nothing","invisible"
"necro_wrecking_ball","necromancer","necro_marrow","8","active","line","beam","shape: beam flash","visual"
"necro_grasp_of_death","necromancer","necro_marrow","9","active","drain","single-target damage","nothing","numbers-only"
"necro_marrownaut","necromancer","necro_marrow","10","active","form+shield","stance+buff (absorb)","nothing","invisible"
"sam_draw_cut","samurai","samurai_tactics","1","active","strike","melee arc","shape: melee arc","visual"
"sam_measured_breath","samurai","samurai_tactics","2","passive","(none)","passive","nothing","passive"
"sam_rising_cut","samurai","samurai_tactics","3","active","strike","melee arc","shape: melee arc","visual"
"sam_two_heavens","samurai","samurai_tactics","4","active","strike","melee arc","shape: melee arc","visual"
"sam_read_the_line","samurai","samurai_tactics","5","active","strike","melee arc","shape: melee arc","visual"
"sam_held_edge","samurai","samurai_tactics","6","passive","(none)","passive","nothing","passive"
"sam_severing_arc","samurai","samurai_tactics","7","active","strike","melee arc","shape: melee arc","visual"
"sam_mountain_stance","samurai","samurai_tactics","8","active","shield","buff (absorb)","nothing","invisible"
"sam_killing_ground","samurai","samurai_tactics","9","active","strike","melee arc","shape: melee arc","visual"
"sam_unsheathed","samurai","samurai_tactics","10","active","strike","melee arc","shape: melee arc","visual"
"sam_quickstep","samurai","samurai_agility","1","active","strike","melee arc","shape: melee arc","visual"
"sam_light_feet","samurai","samurai_agility","2","passive","(none)","passive","nothing","passive"
"sam_running_cut","samurai","samurai_agility","4","active","strike","melee arc","shape: melee arc","visual"
"sam_gale_step","samurai","samurai_agility","6","passive","(none)","passive","nothing","passive"
"sam_hundred_paces","samurai","samurai_agility","8","active","cone","melee arc","shape: melee arc","visual"
"sam_windwalk","samurai","samurai_agility","10","active","strike","melee arc","shape: melee arc","visual"
"sam_slip_cut","samurai","samurai_agility","4","active","strike","melee arc","shape: melee arc","visual"
"sam_dancing_edge","samurai","samurai_agility","6","passive","(none)","passive","nothing","passive"
"sam_crescent","samurai","samurai_agility","8","active","strike","melee arc","shape: melee arc","visual"
"sam_moonfall","samurai","samurai_agility","10","active","strike","melee arc","shape: melee arc","visual"
"bard_grace_note","bard","bard_requiem","1","active","bolt","projectile","entity: projectile","visual"
"bard_held_breath","bard","bard_requiem","2","passive","(none)","passive","nothing","passive"
"bard_answering_verse","bard","bard_requiem","4","active","strike","melee arc","shape: melee arc","visual"
"bard_cadenza","bard","bard_requiem","6","passive","(none)","passive","nothing","passive"
"bard_round","bard","bard_requiem","8","active","cone","melee arc","shape: melee arc","visual"
